,method,model,best_params,train_accuracy,test_accuracy,precision,recall,f1_score,kappa,confusion_matrix,runtime,best model
30,maxabs_scaled,LogisticRegression,"{'C': 10, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.40274953842163086,"LogisticRegression(C=10, penalty='l1', solver='liblinear')"
31,maxabs_scaled,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate': 'constant', 'max_iter': 200, 'solver': 'adam'}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],52.18766903877258,"MLPClassifier(activation='tanh', hidden_layer_sizes=(100, 100))"
32,maxabs_scaled,GaussianNB,{'var_smoothing': 1e-09},0.9156626506024096,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.07379364967346191,GaussianNB()
33,maxabs_scaled,Perceptron,"{'alpha': 0.001, 'max_iter': 1000, 'penalty': 'l2'}",0.7710843373493976,0.8571428571428571,0.9107142857142857,0.8571428571428571,0.8662372110647973,0.6735751295336787,[13  3  0  5],0.37678098678588867,"Perceptron(alpha=0.001, penalty='l2')"
34,maxabs_scaled,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],21.387875080108643,RandomForestClassifier(n_estimators=50)
35,maxabs_scaled,SVC,"{'C': 1, 'coef0': 0, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],3.930565118789673,"SVC(C=1, coef0=0, degree=2, gamma=1, kernel='poly')"
36,robust_scaled,NearestCentroid,"{'metric': 'manhattan', 'shrink_threshold': 0.1}",0.8192771084337349,0.9523809523809523,0.9603174603174603,0.9523809523809523,0.9537774053903088,0.8771929824561403,[15  1  0  5],0.11016678810119629,"NearestCentroid(metric='manhattan', shrink_threshold=0.1)"
37,robust_scaled,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.21257519721984863,KNeighborsClassifier(metric='euclidean')
38,robust_scaled,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.4505157470703125,DecisionTreeClassifier(min_samples_leaf=4)
39,robust_scaled,LogisticRegression,"{'C': 1, 'max_iter': 100, 'penalty': 'l1', 'solver': 'saga'}",0.9759036144578314,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.44640040397644043,"LogisticRegression(C=1, penalty='l1', solver='saga')"
40,robust_scaled,MLPClassifier,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'max_iter': 300, 'solver': 'adam'}",0.963855421686747,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],57.703593254089355,"MLPClassifier(activation='tanh', max_iter=300)"
41,robust_scaled,GaussianNB,{'var_smoothing': 1e-09},0.9156626506024096,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.0417330265045166,GaussianNB()
42,robust_scaled,Perceptron,"{'alpha': 0.001, 'max_iter': 1000, 'penalty': 'l2'}",0.9397590361445783,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.32157468795776367,"Perceptron(alpha=0.001, penalty='l2')"
43,robust_scaled,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",1.0,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],21.466018438339233,RandomForestClassifier()
44,robust_scaled,SVC,"{'C': 100, 'coef0': 0.5, 'degree': 2, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],4.347452402114868,"SVC(C=100, coef0=0.5, degree=2, gamma=0.01, kernel='sigmoid')"
45,normalized,NearestCentroid,"{'metric': 'euclidean', 'shrink_threshold': None}",0.9036144578313253,0.9523809523809523,0.9603174603174603,0.9523809523809523,0.9537774053903088,0.8771929824561403,[15  1  0  5],0.08665275573730469,NearestCentroid()
46,normalized,KNeighborsClassifier,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.21037793159484863,"KNeighborsClassifier(metric='euclidean', n_neighbors=9)"
47,normalized,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",1.0,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.41278910636901855,DecisionTreeClassifier()
48,normalized,LogisticRegression,"{'C': 10, 'max_iter': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.963855421686747,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.375643253326416,"LogisticRegression(C=10, penalty='l1', solver='liblinear')"
49,normalized,MLPClassifier,"{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant', 'max_iter': 400, 'solver': 'adam'}",0.7469879518072289,0.7619047619047619,0.5804988662131519,0.7619047619047619,0.6589446589446589,0.0,[16  0  5  0],30.199683666229248,"MLPClassifier(alpha=0.01, hidden_layer_sizes=(50, 50), max_iter=400)"
50,normalized,GaussianNB,{'var_smoothing': 1e-09},0.9397590361445783,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.045743703842163086,GaussianNB()
51,normalized,Perceptron,"{'alpha': 0.0001, 'max_iter': 1000, 'penalty': 'elasticnet'}",0.963855421686747,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],0.32465577125549316,Perceptron(penalty='elasticnet')
52,normalized,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.0,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],21.550554752349854,RandomForestClassifier(n_estimators=50)
53,normalized,SVC,"{'C': 0.1, 'coef0': 0.5, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",0.9518072289156626,1.0,1.0,1.0,1.0,1.0,[16  0  0  5],3.818294048309326,"SVC(C=0.1, coef0=0.5, degree=4, kernel='poly')"
